GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
00_FirstJava-2.0,pl.cp,SudokuBoard,29,259,4,38,6,40,3,27,1,8
00_FirstJava-2.0,org.example,Main,19,0,2,0,6,0,3,0,2,0
